Track URI,Track Name,Artist Name(s),Album Name,Album Release Date,Album Image URL,Track Duration (ms),Popularity,Artist Genres,Danceability,Label
2WRPCPMu1Qadq0J7Af8aCC,A Hundred Pounds Of Clay - 1995 Digital Remaster,Gene McDaniels,Best Of Gene McDaniels,1995,https://i.scdn.co/image/ab67616d0000b2732a12e6e65f87589ff34c6e0b,143600,16,deep adult standards,0.725,Capitol Records
3M1aZaO65nz2yuA5g8LIVQ,If I Ain’t Got You - Live,Maroon 5,Hands All Over - Deluxe,2010,https://i.scdn.co/image/ab67616d0000b27386498c6e8ee965fa665a9c3d,240786,34,pop,0.502,Interscope Records*
0Si5kJtH34NRIHDDovl2Qp,Place Your Hands,Reef,Glow,1997,https://i.scdn.co/image/ab67616d0000b273b8849220809fe987eecf0351,218426,50,britpop,0.507,Epic
5CvWCItJ13iDRH2bEZhtjy,Believer,Guy Sebastian,T. R. U. T. H.,2020,https://i.scdn.co/image/ab67616d0000b27331c4d69ad8350750f8d2bedd,225493,44,australian pop,0.376,Sony Music Entertainment
2ZQthRFshRud0V6P9Abmop,Touch Me,Starley,Touch Me,2017,https://i.scdn.co/image/ab67616d0000b273ecedec68b07c241fb586c843,208920,0,aussietronica,0.839,Central Station Records
50XXRUFNjs85P0MjCZ1c9X,We Don't Need Another Hero (Thunderdome),Tina Turner,Private Dancer (30th Anniversary Issue),1984,https://i.scdn.co/image/ab67616d0000b273f82ae34da3139fbd2a88332b,255186,64,soft rock,0.69,Parlophone UK
1GxVhWjimzXKknQ2uHVhrV,Pack Up,Eliza Doolittle,Eliza Doolittle,2010,https://i.scdn.co/image/ab67616d0000b273e5b3b4caab09adc786de9308,191026,36,lilith,0.672,Parlophone UK
39HEgisvFM1GJPvvVEM46q,Can't Help Myself,Flowers,Icehouse (30th Anniversary Edition),1982,https://i.scdn.co/image/ab67616d0000b2733551712979f1043329b41c3e,190080,40,australian rock,0.731,Universal Music Australia Pty. Ltd.
7MUO4NG8cNjTEQlANYwmoU,Put A Little Love In Your Heart,Jackie DeShannon,Laurel Canyon (Deluxe Edition),1968,https://i.scdn.co/image/ab67616d0000b273f0026bf8df25e8b7ba88d239,156826,48,brill building pop,0.596,Zonophone
0QxCLD4xJlE8vv0Cvrb8TO,'74-'75,The Connells,Ring,1993,https://i.scdn.co/image/ab67616d0000b273d58a4c6a01b39a4946119c24,278973,0,jangle pop,0.53,Universal Music Group
6zQFzZnkHTE01QwGp11i9y,Breathe Life,Jack Garratt,Phase,2016,https://i.scdn.co/image/ab67616d0000b2737df5782d744fcaf8b6c61d32,262853,0,uk alternative pop,0.607,Universal Music Group
5HBc1VOi4e7nRK4MTGUGHj,Sucker DJ - Radio Edit,"Dimples D., Ben Liebrand",Sucker DJ,1990,https://i.scdn.co/image/ab67616d0000b273dbd90cce1b87bbfd46e3d3d6,223211,30,old school hip hop,0.844,Warlock Records
73QrH5GoOXsiCNOMmWvh4k,Quarter To Three,Gary U.S. Bonds,The Very Best Of Gary U.S. Bonds (The Original Legrand Masters),1998,https://i.scdn.co/image/ab67616d0000b2734ba256fe0a2e5b5d35381661,150400,0,rhythm and blues,0.479,Varese Sarabande
6gtg5a7wYlQjy7n593D6dx,Guantanamera,The Sandpipers,Guantanamera,1966,https://i.scdn.co/image/ab67616d0000b273b62d1d5337954875f6b491c6,194933,30,easy listening,0.318,Polydor Associated Labels
7l9IqDtVWJurTvkQHq1BGh,she's all i wanna be,Tate McRae,i used to think i could fly,2022,https://i.scdn.co/image/ab67616d0000b273f7108342ef45a402af8206b2,207120,77,pop,0.602,RCA Records Label
5qgGXHf4yXNk2Z1LzMQDCh,Everyday,Slade,Old New Borrowed and Blue (Expanded),1974,https://i.scdn.co/image/ab67616d0000b273e721f8eeffefbb38faf47dac,190493,0,glam rock,0.521,BMG Rights Management (UK) Limited
5AnCLGg35ziFOloEnXK4uu,Adore You,Miley Cyrus,Bangerz (Deluxe Version),2013,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c,278746,66,pop,0.583,RCA Records Label
0rSckbp0aam2nGy1ri9Aty,Evie (Part One),Stevie Wright,Hard Road,1974,https://i.scdn.co/image/ab67616d0000b2735b90840f0b47a5888b211836,240000,0,australian rock,0.482,Albert Productions
4fHDlIntTsRGSyTg5UYZYC,Banana Boat (Day-O),Harry Belafonte,Calypso,1956,https://i.scdn.co/image/ab67616d0000b273d46dec4689741b1400c3df95,183133,67,calypso,0.797,RCA Records Label
0ppQBZJl79XXdHzmhYNd3b,Can't Help Myself,Flowers,White Heat: 30 Hits,2011,https://i.scdn.co/image/ab67616d0000b273c1e97e3b542ffb0713d1bd8d,190200,0,australian rock,0.735,Universal Music Group
3TRFq09DUgYj1mug6RRqJW,Lot to Learn,Luke Christopher,TMRW,2015,https://i.scdn.co/image/ab67616d0000b2733f0bd8f231c9b6433be929b1,248337,54,indie pop rap,0.405,ByStorm Entertainment/RCA Records
